counter reading,Wavelength (nm),Energy (eV),Spacer,Without InP,,with InP,,Scaled
330,1275.896724,9.74E-01,,0.06,0.001949318,0,,0
320,1237.361079,1.00E+00,,0.06,0.001949318,0,,0
310,1198.825434,1.04E+00,,0.06,0.001949318,0,,0
300,1160.289788,1.07E+00,,0.06,0.001949318,0,,0
290,1121.754143,1.11E+00,,0.3,0.009746589,0.196,,0.015135135
288,1114.047013,1.12E+00,,0.53,0.017218973,0.293,,0.022625483
286,1106.339884,1.12E+00,,0.81,0.026315789,0.411,,0.031737452
284,1098.632755,1.13E+00,,1.1,0.035737492,0.568,,0.043861004
282,1090.925626,1.14E+00,,1.35,0.043859649,0.74,,0.057142857
280,1083.218497,1.15E+00,,2,0.064977258,0.918,,0.070888031
278,1075.511368,1.16E+00,,2.57,0.083495776,1.24,,0.095752896
276,1067.804239,1.16E+00,,3.38,0.109811566,1.66,,0.128185328
274,1060.09711,1.17E+00,,4.2,0.136452242,2.12,,0.163706564
272,1052.389981,1.18E+00,,5.17,0.167966212,2.55,,0.196911197
270,1044.682852,,,6.3,0.204678363,2.91,,0.224710425
268,1036.975723,1.20E+00,,7.2,0.233918129,3.68,,0.284169884
266,1029.268593,1.21E+00,,9.31,0.302469136,4.45,,0.343629344
264,1021.561464,1.22E+00,,11.5,0.373619233,5.19,,0.400772201
262,1013.854335,1.23E+00,,13.91,0.451916829,6.3,,0.486486486
260,1006.147206,1.24E+00,,16.51,0.536387264,7.77,,0.6
258,998.4400771,1.25E+00,,19.17,0.622807018,8.68,,0.67027027
256,990.732948,1.25E+00,,21.63,0.702729045,9.86,,0.761389961
254,983.0258189,1.26E+00,,23.83,0.774204029,10.86,,0.838610039
252,975.3186898,1.27E+00,,25.92,0.842105263,11.66,,0.9003861
250,967.6115607,1.28E+00,,27.48,0.892787524,12.36,,0.954440154
248,959.9044316,1.30E+00,,28.85,0.937296946,12.82,,0.98996139
246,952.1973025,1.31E+00,,29.75,0.966536712,12.95,,1
244,944.4901734,1.32E+00,,30.37,0.986679662,12.68,,0.979150579
242,936.7830443,1.33E+00,,30.72,0.998050682,11.16,,0.861776062
240,929.0759152,1.34E+00,,30.78,1,9.05,,0.698841699
238,921.3687861,1.35E+00,,30.62,0.994801819,5.64,,0.435521236
236,913.661657,1.36E+00,,30.37,0.986679662,2.55,,0.196911197
234,905.9545279,1.37E+00,,29.85,0.969785575,0.725,,0.055984556
232,898.2473988,1.38E+00,,29.37,0.954191033,0.063,,0.004864865
230,890.5402697,1.40E+00,,28.81,0.935997401,0,,0
228,882.8331407,1.41E+00,,28.13,0.913905133,0,,0
226,875.1260116,1.42E+00,,27.33,0.88791423,0,,0
224,867.4188825,1.43E+00,,26.52,0.861598441,0,,0
222,859.7117534,1.45E+00,,25.57,0.830734243,0,,0
220,852.0046243,1.46E+00,,24.73,0.803443795,0,,0
215,832.7368015,1.49E+00,,23.03,0.748213125,0,,0
210,813.4689788,1.53E+00,,21.43,0.696231319,0,,0
205,794.2011561,1.57E+00,,20.77,0.674788824,0,,0
200,774.9333333,1.60E+00,,20.66,0.671215075,0,,0
195,755.6655106,1.65E+00,,20.51,0.66634178,0,,0
190,736.3976879,1.69E+00,,20.31,0.659844055,0,,0
185,717.1298651,1.73E+00,,19.72,0.640675763,0,,0
180,697.8620424,1.78E+00,,18.23,0.592267706,0,,0
175,678.5942197,1.83E+00,,14.15,0.4597141,0,,0
170,659.3263969,1.89E+00,,4.36,0.141650422,0,,0
165,640.0585742,1.94E+00,,0.33,0.010721248,0,,0
160,620.7907514,2.00E+00,,0,0,0,,0
155,601.5229287,2.07E+00,,0,0,0,,0
150,582.255106,2.14E+00,,0,0,0,,0
